index,drybulb,damp,glohorzrad,difhorzrad,t_sky,t_ground,wind_speed
371,-8.01,1.04,345.95,221.49,254.96,-5.05,2.0
372,-7.16,1.06,163.64,163.64,257.4,-2.64,2.0
373,-6.54,1.06,157.82,157.82,259.4,-0.68,2.0
374,-6.3,1.03,308.05,197.23,260.59,0.5,1.0
375,-6.27,0.98,90.13,90.13,260.72,0.65,1.0
376,-6.2,0.96,43.01,43.01,259.94,-0.1,1.0
377,-6.14,0.96,0.0,0.0,258.49,-1.48,1.0
378,-6.12,0.98,0.0,0.0,256.64,-3.25,1.0
379,-6.2,1.02,0.0,0.0,254.64,-5.18,1.0
380,-6.4,1.08,0.0,0.0,252.77,-7.0,0.0
381,-6.76,1.16,0.0,0.0,251.23,-8.53,0.0
382,-7.24,1.24,0.0,0.0,250.0,-9.77,0.0
383,-7.79,1.29,0.0,0.0,249.01,-10.79,0.0
384,-8.37,1.31,0.0,0.0,232.65,-11.64,0.0
385,-8.92,1.29,0.0,0.0,231.88,-12.39,0.0
386,-9.4,1.23,0.0,0.0,231.07,-13.1,0.0
387,-9.77,1.12,0.0,0.0,230.17,-13.79,0.0
388,-10.02,0.98,0.0,0.0,229.34,-14.35,0.0
389,-10.19,0.82,0.0,0.0,228.79,-14.63,0.0
390,-10.27,0.67,0.0,0.0,228.72,-14.5,0.0
391,-10.3,0.53,0.0,0.0,229.35,-13.8,0.0
392,-9.8,0.43,72.55,7.08,230.77,-12.4,5.0
393,-9.23,0.38,226.48,22.1,233.22,-10.23,5.0
394,-8.83,0.35,376.35,36.73,236.39,-7.59,5.0
395,-8.51,0.35,490.42,47.86,239.72,-4.86,5.0
396,-8.19,0.37,543.75,53.06,242.7,-2.43,5.0
397,-7.78,0.4,524.5,51.18,244.78,-0.68,5.0
398,-7.2,0.42,436.95,42.64,245.48,0.0,7.0
399,-6.48,0.44,300.42,29.32,244.47,-0.64,7.0
400,-6.1,0.43,144.35,14.09,242.18,-2.34,7.0
401,-6.41,0.38,0.9,0.09,239.19,-4.72,7.0
402,-7.18,0.33,0.0,0.0,235.94,-7.4,7.0
403,-8.19,0.29,0.0,0.0,232.89,-9.99,7.0
404,-9.2,0.27,0.0,0.0,230.49,-12.1,6.0
405,-10.03,0.27,0.0,0.0,229.08,-13.46,6.0
406,-10.68,0.29,0.0,0.0,228.46,-14.18,6.0
407,-11.17,0.32,0.0,0.0,228.35,-14.48,6.0
408,-11.53,0.35,0.0,0.0,228.49,-14.59,6.0
409,-11.79,0.38,0.0,0.0,228.51,-14.72,6.0
410,-12.0,0.41,0.0,0.0,228.16,-15.1,3.0
411,-12.17,0.42,0.0,0.0,227.28,-15.85,3.0
412,-12.31,0.42,0.0,0.0,226.15,-16.76,3.0
413,-12.41,0.41,0.0,0.0,225.2,-17.5,3.0
414,-12.48,0.39,0.0,0.0,224.84,-17.76,3.0
415,-12.5,0.37,0.0,0.0,225.49,-17.23,3.0
416,-12.4,0.34,43.21,7.63,227.51,-15.6,3.0
417,-11.98,0.32,227.28,24.29,231.04,-12.7,3.0
418,-11.3,0.29,376.38,40.23,235.5,-8.95,3.0
419,-10.46,0.26,489.81,52.35,240.17,-4.94,3.0
420,-9.57,0.23,542.82,58.02,244.39,-1.24,3.0
421,-8.75,0.21,523.69,55.97,247.49,1.56,3.0
422,-8.1,0.19,436.67,46.67,248.86,2.9,7.0
423,-7.72,0.18,300.89,32.16,248.07,2.38,7.0
424,-7.6,0.18,145.55,15.56,245.54,0.37,7.0
425,-7.66,0.19,2.58,0.28,241.9,-2.59,7.0
426,-7.8,0.21,0.0,0.0,237.76,-5.94,7.0
427,-7.93,0.23,0.0,0.0,233.77,-9.12,7.0
428,-8.0,0.24,0.0,0.0,230.62,-11.6,6.0
429,-7.95,0.26,0.0,0.0,228.83,-12.97,6.0
430,-7.87,0.27,0.0,0.0,228.19,-13.45,6.0
431,-7.84,0.28,0.0,0.0,228.25,-13.43,6.0
432,-7.97,0.3,0.0,0.0,229.06,-13.28,6.0
433,-8.35,0.32,0.0,0.0,229.15,-13.38,6.0
434,-9.1,0.34,0.0,0.0,228.58,-14.1,4.0
435,-10.24,0.36,0.0,0.0,227.06,-15.67,4.0
436,-11.58,0.37,0.0,0.0,225.04,-17.65,4.0
437,-12.86,0.38,0.0,0.0,223.19,-19.48,4.0
438,-13.82,0.37,0.0,0.0,222.15,-20.57,4.0
439,-14.2,0.37,0.0,0.0,222.62,-20.34,4.0
440,-13.4,0.38,75.94,7.81,225.12,-18.2,0.0
441,-11.84,0.39,229.49,23.61,230.15,-13.84,0.0
442,-9.96,0.37,378.69,38.96,236.85,-7.98,0.0
443,-7.98,0.32,492.15,50.63,244.02,-1.6,0.0
444,-6.12,0.25,545.16,56.09,250.51,4.33,0.0
445,-4.59,0.18,526.04,54.12,255.31,8.82,0.0
446,-3.6,0.16,439.02,45.17,257.46,10.9,3.0
447,-3.3,0.24,303.18,31.19,256.35,9.9,3.0
448,-3.48,0.38,147.67,15.19,252.5,6.44,3.0
449,-4.0,0.55,4.33,0.45,246.85,1.44,3.0
450,-4.84,0.69,0.0,0.0,240.4,-4.15,3.0
451,-5.98,0.76,0.0,0.0,234.27,-9.41,3.0
452,-7.4,0.75,0.0,0.0,229.67,-13.4,3.0
453,-9.0,0.67,0.0,0.0,227.51,-15.44,3.0
454,-10.34,0.57,0.0,0.0,227.37,-15.82,3.0
455,-10.9,0.5,0.0,0.0,228.39,-15.09,3.0
456,-9.74,0.48,0.0,0.0,229.62,-13.8,3.0
457,-7.2,0.52,0.0,0.0,230.36,-12.49,3.0
458,-4.7,0.55,0.0,0.0,230.43,-11.7,2.0
459,-3.35,0.56,0.0,0.0,229.72,-11.81,2.0
460,-3.09,0.55,0.0,0.0,228.63,-12.53,2.0
461,-3.58,0.53,0.0,0.0,227.65,-13.38,2.0
462,-4.44,0.5,0.0,0.0,227.26,-13.91,2.0
463,-5.33,0.46,0.0,0.0,227.93,-13.64,2.0
464,-5.9,0.43,44.6,8.88,230.13,-12.1,3.0
465,-5.87,0.4,229.99,28.63,234.06,-9.02,3.0
466,-5.33,0.37,378.17,47.08,239.08,-4.89,3.0
467,-4.43,0.35,490.78,61.1,244.37,-0.38,3.0
468,-3.36,0.31,543.39,67.65,249.17,3.84,3.0
469,-2.26,0.29,524.43,65.29,252.73,7.09,3.0
470,-1.3,0.27,438.07,54.54,254.34,8.7,5.0
471,-0.8,0.27,303.21,37.75,253.57,8.21,5.0
472,-0.97,0.29,85.74,17.08,250.94,6.0,5.0
473,-1.41,0.32,6.08,0.76,247.04,2.67,5.0
474,-2.02,0.37,0.0,0.0,242.54,-1.17,5.0
475,-2.72,0.42,0.0,0.0,238.13,-4.93,5.0
476,-3.4,0.48,0.0,0.0,234.56,-8.0,3.0
477,-4.0,0.54,0.0,0.0,232.39,-9.95,3.0
478,-4.53,0.6,0.0,0.0,231.41,-10.97,3.0
479,-5.04,0.65,0.0,0.0,231.16,-11.41,3.0
480,-5.57,0.7,0.0,0.0,231.47,-11.62,3.0
481,-6.18,0.74,0.0,0.0,231.33,-11.97,3.0
482,-6.9,0.77,0.0,0.0,230.59,-12.8,3.0
483,-7.75,0.78,0.0,0.0,228.97,-14.32,3.0
484,-8.63,0.77,0.0,0.0,226.95,-16.13,3.0
485,-9.42,0.75,0.0,0.0,225.18,-17.7,3.0
486,-9.98,0.72,0.0,0.0,224.33,-18.5,3.0
487,-10.2,0.69,0.0,0.0,225.05,-17.98,3.0
